occupied,azimuth,elevation,strength,current_score,proposed_score,global_hard_score,canonical_hard_score,canonical_soft_score,current_edges,proposed_edges,current_maximum,proposed_maximum
0,0,15,0.650000,0.804214,0.776242,0.824468,0.811691,0.787377,172,187,296,256.250000
0,0,15,0.850000,0.762019,0.769481,0.814814,0.804881,0.775268,207,228,381,329
0,0,15,1,0.752358,0.763273,0.809591,0.799411,0.767684,234,242,447,388.125000
0,0,15,1.150000,0.732920,0.760664,0.804978,0.794863,0.762680,243,259,513,441.125000
0,0,15,1.350000,0.700590,0.757443,0.802682,0.786050,0.757212,264,273,601,516.625000
0,30,15,0.650000,0.657783,0.675380,0.712682,0.742553,0.711353,193,200,307,250.625000
0,30,15,0.850000,0.610194,0.650167,0.706676,0.728916,0.686274,229,239,397,322.625000
0,30,15,1,0.581211,0.638484,0.691788,0.701007,0.674813,248,261,463,379.625000
0,30,15,1.150000,0.570843,0.632054,0.689187,0.705071,0.671618,262,275,532,434
0,30,15,1.350000,0.552941,0.628161,0.683913,0.703596,0.666200,281,286,622,509.250000
0,60,15,0.650000,0.349077,0.335232,0.408590,0.372280,0.345472,220,225,258,202.375000
0,60,15,0.850000,0.332260,0.310289,0.404388,0.346700,0.319895,259,259,336,264.125000
0,60,15,1,0.309896,0.301695,0.384222,0.343514,0.309776,273,279,394,307.750000
0,60,15,1.150000,0.293235,0.299755,0.374376,0.337823,0.304447,285,288,456,357.250000
0,60,15,1.350000,0.285191,0.294081,0.362067,0.315645,0.296492,293,299,536,418.500000
0,90,15,0.650000,0.250923,0.298417,0.309206,0.338726,0.308660,203,227,185,143.375000
0,90,15,0.850000,0.294573,0.343907,0.365168,0.359190,0.335792,240,252,227,188.250000
0,90,15,1,0.315800,0.358499,0.376028,0.367049,0.344908,251,267,268,221.750000
0,90,15,1.150000,0.314617,0.371797,0.387771,0.365938,0.353004,268,280,305,252.500000
0,90,15,1.350000,0.335391,0.381137,0.394495,0.380723,0.363604,284,290,353,293
0,120,15,0.650000,0.212465,0.182513,0.211802,0.205007,0.178674,218,231,198,152.375000
0,120,15,0.850000,0.208176,0.190890,0.215982,0.235839,0.197206,255,258,262,200.125000
0,120,15,1,0.228066,0.193428,0.234340,0.253798,0.203528,273,276,305,230.500000
0,120,15,1.150000,0.235076,0.198081,0.225919,0.255945,0.211835,282,287,350,264.625000
0,120,15,1.350000,0.231785,0.197426,0.224775,0.257446,0.216540,290,292,409,309.625000
0,150,15,0.650000,0.438833,0.463397,0.500238,0.516388,0.462801,210,228,277,230.625000
0,150,15,0.850000,0.383442,0.439544,0.470884,0.483793,0.439200,252,263,355,296.125000
0,150,15,1,0.376384,0.433486,0.464361,0.467840,0.434304,271,278,415,346.750000
0,150,15,1.150000,0.367769,0.429853,0.460240,0.476103,0.432731,281,286,475,396.500000
0,150,15,1.350000,0.363354,0.427263,0.452783,0.469354,0.433135,290,291,550,461.750000
0,180,15,0.650000,0.785125,0.762432,0.809668,0.807754,0.783625,173,187,299,255.500000
0,180,15,0.850000,0.739755,0.748917,0.793564,0.787037,0.766539,209,231,384,330.625000
0,180,15,1,0.731481,0.753436,0.800561,0.782329,0.764614,229,243,447,383.875000
0,180,15,1.150000,0.722701,0.754212,0.796345,0.786994,0.762789,243,253,513,440.750000
0,180,15,1.350000,0.695018,0.753922,0.798698,0.774247,0.758751,260,271,602,515.875000
0,210,15,0.650000,0.667405,0.658005,0.693942,0.738838,0.707869,195,205,299,251.500000
0,210,15,0.850000,0.607756,0.636518,0.666454,0.717022,0.686943,228,239,392,328.250000
0,210,15,1,0.578516,0.624796,0.657430,0.713642,0.675312,252,258,459,382.875000
0,210,15,1.150000,0.554526,0.617346,0.651928,0.695223,0.668387,264,272,526,436.875000
0,210,15,1.350000,0.554361,0.612323,0.648486,0.690870,0.663144,276,284,613,512.500000
0,240,15,0.650000,0.334331,0.335881,0.395236,0.330277,0.333493,217,235,258,207
0,240,15,0.850000,0.305734,0.315827,0.382530,0.331807,0.311894,260,262,337,264.250000
0,240,15,1,0.282355,0.306237,0.354967,0.321764,0.299759,276,277,396,311.500000
0,240,15,1.150000,0.278936,0.301719,0.350759,0.309338,0.296801,284,286,453,357.375000
0,240,15,1.350000,0.276600,0.295622,0.341735,0.303017,0.289497,290,299,534,419.625000
0,270,15,0.650000,0.261993,0.309719,0.308598,0.344177,0.308107,200,225,180,147.375000
0,270,15,0.850000,0.303157,0.344623,0.362995,0.386797,0.344761,238,251,228,188.875000
0,270,15,1,0.319956,0.363141,0.375309,0.387402,0.363449,250,271,265,220
0,270,15,1.150000,0.339483,0.375399,0.401539,0.400726,0.373634,271,280,307,255.125000
0,270,15,1.350000,0.349415,0.386275,0.407579,0.411367,0.383936,282,289,354,294
